disease,split,full_name,orphacode,alternative_names,prevalence,inheritance,category,affected_systems
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,train,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
